2025-04-02 08:23:56,543 - INFO - Iter:  116 | ∇del: +2.0463e+08 | шаг: 1.6646e+00 | er del: -5.7481e-02 | er: 2.5429e+03 | time:   47.20с
2025-04-02 08:24:43,704 - INFO - Iter:  117 | ∇del: +2.1095e+08 | шаг: 1.7203e+00 | er del: -7.3912e-02 | er: 2.5429e+03 | time:   47.16с
2025-04-02 08:25:30,933 - INFO - Iter:  118 | ∇del: +2.1717e+08 | шаг: 1.7756e+00 | er del: -7.4559e-02 | er: 2.5428e+03 | time:   47.22с
2025-04-02 08:26:18,154 - INFO - Iter:  119 | ∇del: +2.2315e+08 | шаг: 1.8302e+00 | er del: -6.5167e-02 | er: 2.5427e+03 | time:   47.21с
2025-04-02 08:27:05,312 - INFO - Iter:  120 | ∇del: +2.2887e+08 | шаг: 1.8840e+00 | er del: -8.1535e-02 | er: 2.5426e+03 | time:   47.15с
2025-04-02 08:27:52,559 - INFO - Iter:  121 | ∇del: +2.3434e+08 | шаг: 1.9367e+00 | er del: -8.4493e-02 | er: 2.5425e+03 | time:   47.24с
2025-04-02 08:28:39,647 - INFO - Iter:  122 | ∇del: +2.3951e+08 | шаг: 1.9881e+00 | er del: -8.8903e-02 | er: 2.5425e+03 | time:   47.08с
2025-04-02 08:29:26,755 - INFO - Iter:  123 | ∇del: +2.4437e+08 | шаг: 2.0382e+00 | er del: -9.1140e-02 | er: 2.5424e+03 | time:   47.10с
2025-04-02 08:30:13,858 - INFO - Iter:  124 | ∇del: +2.4880e+08 | шаг: 2.0867e+00 | er del: -1.1753e-01 | er: 2.5422e+03 | time:   47.10с
2025-04-02 08:31:00,959 - INFO - Iter:  125 | ∇del: +2.5303e+08 | шаг: 2.1336e+00 | er del: -9.9084e-02 | er: 2.5422e+03 | time:   47.09с
2025-04-02 08:31:48,036 - INFO - Iter:  126 | ∇del: +2.5670e+08 | шаг: 2.1787e+00 | er del: -1.3866e-01 | er: 2.5420e+03 | time:   47.07с
2025-04-02 08:32:35,225 - INFO - Iter:  127 | ∇del: +2.6024e+08 | шаг: 2.2219e+00 | er del: -1.0622e-01 | er: 2.5419e+03 | time:   47.18с
2025-04-02 08:33:22,323 - INFO - Iter:  128 | ∇del: +2.6320e+08 | шаг: 2.2631e+00 | er del: -1.3179e-01 | er: 2.5418e+03 | time:   47.09с
2025-04-02 08:34:09,463 - INFO - Iter:  129 | ∇del: +2.6579e+08 | шаг: 2.3022e+00 | er del: -1.4775e-01 | er: 2.5416e+03 | time:   47.13с
2025-04-02 08:34:56,646 - INFO - Iter:  130 | ∇del: +2.6808e+08 | шаг: 2.3389e+00 | er del: -1.4015e-01 | er: 2.5415e+03 | time:   47.18с
2025-04-02 08:35:43,814 - INFO - Iter:  131 | ∇del: +2.6990e+08 | шаг: 2.3734e+00 | er del: -1.5983e-01 | er: 2.5413e+03 | time:   47.16с
2025-04-02 08:36:30,986 - INFO - Iter:  132 | ∇del: +2.7143e+08 | шаг: 2.4058e+00 | er del: -1.5825e-01 | er: 2.5412e+03 | time:   47.16с
2025-04-02 08:37:18,229 - INFO - Iter:  133 | ∇del: +2.7255e+08 | шаг: 2.4358e+00 | er del: -1.6584e-01 | er: 2.5410e+03 | time:   47.24с
2025-04-02 08:38:05,351 - INFO - Iter:  134 | ∇del: +2.7327e+08 | шаг: 2.4638e+00 | er del: -1.7888e-01 | er: 2.5408e+03 | time:   47.12с
2025-04-02 08:38:52,547 - INFO - Iter:  135 | ∇del: +2.7385e+08 | шаг: 2.4895e+00 | er del: -1.7224e-01 | er: 2.5407e+03 | time:   47.19с
2025-04-02 08:39:39,785 - INFO - Iter:  136 | ∇del: +2.7385e+08 | шаг: 2.5132e+00 | er del: -2.1111e-01 | er: 2.5404e+03 | time:   47.23с
2025-04-02 08:40:27,054 - INFO - Iter:  137 | ∇del: +2.7393e+08 | шаг: 2.5350e+00 | er del: -1.8211e-01 | er: 2.5403e+03 | time:   47.26с
2025-04-02 08:41:14,229 - INFO - Iter:  138 | ∇del: +2.7353e+08 | шаг: 2.5548e+00 | er del: -2.0393e-01 | er: 2.5401e+03 | time:   47.17с
2025-04-02 08:42:01,384 - INFO - Iter:  139 | ∇del: +2.7302e+08 | шаг: 2.5730e+00 | er del: -2.0823e-01 | er: 2.5398e+03 | time:   47.15с
2025-04-02 08:42:48,587 - INFO - Iter:  140 | ∇del: +2.7225e+08 | шаг: 2.5895e+00 | er del: -2.2560e-01 | er: 2.5396e+03 | time:   47.20с
2025-04-02 08:43:35,720 - INFO - Iter:  141 | ∇del: +2.7146e+08 | шаг: 2.6046e+00 | er del: -2.1862e-01 | er: 2.5394e+03 | time:   47.13с
2025-04-02 08:44:22,835 - INFO - Iter:  142 | ∇del: +2.7038e+08 | шаг: 2.6182e+00 | er del: -2.5231e-01 | er: 2.5391e+03 | time:   47.11с
2025-04-02 08:45:09,937 - INFO - Iter:  143 | ∇del: +2.6945e+08 | шаг: 2.6304e+00 | er del: -2.3570e-01 | er: 2.5389e+03 | time:   47.10с
2025-04-02 08:45:57,081 - INFO - Iter:  144 | ∇del: +2.6834e+08 | шаг: 2.6415e+00 | er del: -2.4316e-01 | er: 2.5387e+03 | time:   47.14с
2025-04-02 08:46:44,240 - INFO - Iter:  145 | ∇del: +2.6728e+08 | шаг: 2.6512e+00 | er del: -2.5003e-01 | er: 2.5384e+03 | time:   47.15с
2025-04-02 08:47:31,327 - INFO - Iter:  146 | ∇del: +2.6605e+08 | шаг: 2.6599e+00 | er del: -2.6681e-01 | er: 2.5382e+03 | time:   47.08с
2025-04-02 08:48:18,378 - INFO - Iter:  147 | ∇del: +2.6496e+08 | шаг: 2.6676e+00 | er del: -2.7005e-01 | er: 2.5379e+03 | time:   47.04с
2025-04-02 08:49:05,542 - INFO - Iter:  148 | ∇del: +2.6392e+08 | шаг: 2.6743e+00 | er del: -2.6780e-01 | er: 2.5376e+03 | time:   47.16с
2025-04-02 08:49:52,732 - INFO - Iter:  149 | ∇del: +2.6281e+08 | шаг: 2.6800e+00 | er del: -2.8736e-01 | er: 2.5373e+03 | time:   47.18с
2025-04-02 08:50:39,934 - INFO - Iter:  150 | ∇del: +2.6185e+08 | шаг: 2.6848e+00 | er del: -2.8845e-01 | er: 2.5370e+03 | time:   47.20с
2025-04-02 08:51:27,121 - INFO - Iter:  151 | ∇del: +2.6101e+08 | шаг: 2.6888e+00 | er del: -2.8407e-01 | er: 2.5368e+03 | time:   47.18с
2025-04-02 08:52:14,452 - INFO - Iter:  152 | ∇del: +2.6003e+08 | шаг: 2.6925e+00 | er del: -3.0742e-01 | er: 2.5364e+03 | time:   47.32с
2025-04-02 08:53:01,622 - INFO - Iter:  153 | ∇del: +2.5935e+08 | шаг: 2.6952e+00 | er del: -3.0630e-01 | er: 2.5361e+03 | time:   47.16с
2025-04-02 08:53:48,867 - INFO - Iter:  154 | ∇del: +2.5867e+08 | шаг: 2.6974e+00 | er del: -3.1164e-01 | er: 2.5358e+03 | time:   47.24с
2025-04-02 08:54:36,154 - INFO - Iter:  155 | ∇del: +2.5811e+08 | шаг: 2.6992e+00 | er del: -3.1626e-01 | er: 2.5355e+03 | time:   47.28с
2025-04-02 08:55:23,318 - INFO - Iter:  156 | ∇del: +2.5761e+08 | шаг: 2.7005e+00 | er del: -3.2511e-01 | er: 2.5352e+03 | time:   47.16с
2025-04-02 08:56:10,370 - INFO - Iter:  157 | ∇del: +2.5725e+08 | шаг: 2.7017e+00 | er del: -3.2946e-01 | er: 2.5349e+03 | time:   47.04с
2025-04-02 08:56:57,619 - INFO - Iter:  158 | ∇del: +2.5700e+08 | шаг: 2.7023e+00 | er del: -3.3730e-01 | er: 2.5345e+03 | time:   47.24с
2025-04-02 08:57:44,720 - INFO - Iter:  159 | ∇del: +2.5687e+08 | шаг: 2.7026e+00 | er del: -3.4270e-01 | er: 2.5342e+03 | time:   47.09с
2025-04-02 08:58:31,855 - INFO - Iter:  160 | ∇del: +2.5680e+08 | шаг: 2.7030e+00 | er del: -3.4679e-01 | er: 2.5338e+03 | time:   47.13с
2025-04-02 08:59:19,046 - INFO - Iter:  161 | ∇del: +2.5673e+08 | шаг: 2.7029e+00 | er del: -3.6156e-01 | er: 2.5335e+03 | time:   47.18с
2025-04-02 09:00:06,291 - INFO - Iter:  162 | ∇del: +2.5696e+08 | шаг: 2.7028e+00 | er del: -3.5891e-01 | er: 2.5331e+03 | time:   47.24с
2025-04-02 09:00:53,421 - INFO - Iter:  163 | ∇del: +2.5708e+08 | шаг: 2.7025e+00 | er del: -3.6757e-01 | er: 2.5327e+03 | time:   47.12с
2025-04-02 09:01:40,631 - INFO - Iter:  164 | ∇del: +2.5740e+08 | шаг: 2.7018e+00 | er del: -3.6781e-01 | er: 2.5324e+03 | time:   47.20с
2025-04-02 09:02:27,858 - INFO - Iter:  165 | ∇del: +2.6529e+08 | шаг: 2.7007e+00 | er del: -3.8292e-01 | er: 2.5320e+03 | time:   47.22с
2025-04-02 09:03:15,036 - INFO - Iter:  166 | ∇del: +2.5808e+08 | шаг: 2.6995e+00 | er del: -3.8720e-01 | er: 2.5316e+03 | time:   47.17с
2025-04-02 09:04:02,235 - INFO - Iter:  167 | ∇del: +2.6272e+08 | шаг: 2.6983e+00 | er del: -3.8752e-01 | er: 2.5312e+03 | time:   47.19с
2025-04-02 09:04:49,322 - INFO - Iter:  168 | ∇del: +2.7051e+08 | шаг: 2.6965e+00 | er del: -3.9409e-01 | er: 2.5308e+03 | time:   47.08с
2025-04-02 09:05:36,534 - INFO - Iter:  169 | ∇del: +3.2182e+08 | шаг: 2.6959e+00 | er del: -4.0518e-01 | er: 2.5304e+03 | time:   47.21с
2025-04-02 09:06:23,763 - INFO - Iter:  170 | ∇del: +2.8916e+08 | шаг: 2.6954e+00 | er del: -4.0990e-01 | er: 2.5300e+03 | time:   47.22с
2025-04-02 09:07:10,893 - INFO - Iter:  171 | ∇del: +3.2153e+08 | шаг: 2.6951e+00 | er del: -4.1468e-01 | er: 2.5296e+03 | time:   47.12с
2025-04-02 09:07:58,063 - INFO - Iter:  172 | ∇del: +3.1722e+08 | шаг: 2.6949e+00 | er del: -4.2378e-01 | er: 2.5292e+03 | time:   47.16с
2025-04-02 09:08:45,274 - INFO - Iter:  173 | ∇del: +3.3450e+08 | шаг: 2.6948e+00 | er del: -4.2961e-01 | er: 2.5287e+03 | time:   47.20с
2025-04-02 09:09:32,368 - INFO - Iter:  174 | ∇del: +4.6938e+08 | шаг: 2.6931e+00 | er del: -4.4330e-01 | er: 2.5283e+03 | time:   47.09с
2025-04-02 09:10:19,554 - INFO - Iter:  175 | ∇del: +4.0356e+08 | шаг: 2.6966e+00 | er del: -4.4733e-01 | er: 2.5279e+03 | time:   47.18с
2025-04-02 09:11:06,634 - INFO - Iter:  176 | ∇del: +4.5861e+08 | шаг: 2.7016e+00 | er del: -4.5820e-01 | er: 2.5274e+03 | time:   47.07с
2025-04-02 09:11:53,708 - INFO - Iter:  177 | ∇del: +4.4905e+08 | шаг: 2.7042e+00 | er del: -4.7345e-01 | er: 2.5269e+03 | time:   47.07с
2025-04-02 09:12:40,846 - INFO - Iter:  178 | ∇del: +4.9152e+08 | шаг: 2.7079e+00 | er del: -4.7627e-01 | er: 2.5264e+03 | time:   47.13с
2025-04-02 09:13:28,071 - INFO - Iter:  179 | ∇del: +4.8916e+08 | шаг: 2.7125e+00 | er del: -4.9681e-01 | er: 2.5259e+03 | time:   47.22с
2025-04-02 09:14:15,266 - INFO - Iter:  180 | ∇del: +5.8343e+08 | шаг: 2.7166e+00 | er del: -5.0702e-01 | er: 2.5254e+03 | time:   47.19с
2025-04-02 09:15:02,709 - INFO - Iter:  181 | ∇del: +5.3247e+08 | шаг: 2.7202e+00 | er del: -5.1644e-01 | er: 2.5249e+03 | time:   47.44с
2025-04-02 09:15:49,829 - INFO - Iter:  182 | ∇del: +5.5651e+08 | шаг: 2.7242e+00 | er del: -5.3275e-01 | er: 2.5244e+03 | time:   47.11с
2025-04-02 09:16:36,979 - INFO - Iter:  183 | ∇del: +5.6472e+08 | шаг: 2.7287e+00 | er del: -5.4609e-01 | er: 2.5238e+03 | time:   47.14с
2025-04-02 09:17:24,033 - INFO - Iter:  184 | ∇del: +6.5514e+08 | шаг: 2.7333e+00 | er del: -5.6878e-01 | er: 2.5233e+03 | time:   47.05с
2025-04-02 09:18:11,175 - INFO - Iter:  185 | ∇del: +5.2361e+08 | шаг: 2.7378e+00 | er del: -5.7629e-01 | er: 2.5227e+03 | time:   47.14с
2025-04-02 09:18:58,411 - INFO - Iter:  186 | ∇del: +5.9920e+08 | шаг: 2.7414e+00 | er del: -5.9258e-01 | er: 2.5221e+03 | time:   47.23с
2025-04-02 09:19:45,552 - INFO - Iter:  187 | ∇del: +7.3445e+08 | шаг: 2.7399e+00 | er del: -6.1220e-01 | er: 2.5215e+03 | time:   47.13с
2025-04-02 09:20:32,752 - INFO - Iter:  188 | ∇del: +6.3221e+08 | шаг: 2.7437e+00 | er del: -6.3366e-01 | er: 2.5209e+03 | time:   47.19с
2025-04-02 09:21:19,950 - INFO - Iter:  189 | ∇del: +6.1070e+08 | шаг: 2.7476e+00 | er del: -6.4847e-01 | er: 2.5202e+03 | time:   47.19с
2025-04-02 09:22:07,114 - INFO - Iter:  190 | ∇del: +6.0185e+08 | шаг: 2.7530e+00 | er del: -6.6673e-01 | er: 2.5195e+03 | time:   47.16с
2025-04-02 09:22:54,180 - INFO - Iter:  191 | ∇del: +6.7150e+08 | шаг: 2.7582e+00 | er del: -6.8321e-01 | er: 2.5189e+03 | time:   47.06с
2025-04-02 09:23:41,310 - INFO - Iter:  192 | ∇del: +5.6187e+08 | шаг: 2.7635e+00 | er del: -7.0212e-01 | er: 2.5182e+03 | time:   47.12с
2025-04-02 09:24:28,465 - INFO - Iter:  193 | ∇del: +5.9590e+08 | шаг: 2.7695e+00 | er del: -7.2163e-01 | er: 2.5174e+03 | time:   47.15с
2025-04-02 09:25:15,608 - INFO - Iter:  194 | ∇del: +6.0081e+08 | шаг: 2.7760e+00 | er del: -7.3713e-01 | er: 2.5167e+03 | time:   47.14с
2025-04-02 09:26:02,863 - INFO - Iter:  195 | ∇del: +5.6238e+08 | шаг: 2.7819e+00 | er del: -7.5527e-01 | er: 2.5159e+03 | time:   47.25с
2025-04-02 09:26:50,092 - INFO - Iter:  196 | ∇del: +6.8713e+08 | шаг: 2.7881e+00 | er del: -7.7266e-01 | er: 2.5152e+03 | time:   47.22с
2025-04-02 09:27:37,254 - INFO - Iter:  197 | ∇del: +6.6866e+08 | шаг: 2.7935e+00 | er del: -7.9217e-01 | er: 2.5144e+03 | time:   47.15с
2025-04-02 09:28:24,507 - INFO - Iter:  198 | ∇del: +6.1693e+08 | шаг: 2.7990e+00 | er del: -8.1261e-01 | er: 2.5136e+03 | time:   47.25с
2025-04-02 09:29:11,523 - INFO - Iter:  199 | ∇del: +5.8822e+08 | шаг: 2.8041e+00 | er del: -8.2917e-01 | er: 2.5127e+03 | time:   47.01с
2025-04-02 09:29:58,418 - INFO - Iter:  200 | ∇del: +6.0594e+08 | шаг: 2.8092e+00 | er del: -8.4717e-01 | er: 2.5119e+03 | time:   46.89с
2025-04-02 09:30:45,349 - INFO - Iter:  201 | ∇del: +5.1110e+08 | шаг: 2.8142e+00 | er del: -8.6376e-01 | er: 2.5110e+03 | time:   46.92с
2025-04-02 09:31:32,242 - INFO - Iter:  202 | ∇del: +5.5642e+08 | шаг: 2.8193e+00 | er del: -8.7986e-01 | er: 2.5101e+03 | time:   46.89с
2025-04-02 09:32:19,404 - INFO - Iter:  203 | ∇del: +6.4958e+08 | шаг: 2.8254e+00 | er del: -8.9599e-01 | er: 2.5093e+03 | time:   47.16с
2025-04-02 09:33:06,633 - INFO - Iter:  204 | ∇del: +6.7956e+08 | шаг: 2.8324e+00 | er del: -9.1698e-01 | er: 2.5083e+03 | time:   47.22с
2025-04-02 09:33:53,764 - INFO - Iter:  205 | ∇del: +5.9860e+08 | шаг: 2.8398e+00 | er del: -9.3576e-01 | er: 2.5074e+03 | time:   47.12с
2025-04-02 09:34:40,935 - INFO - Iter:  206 | ∇del: +6.5661e+08 | шаг: 2.8473e+00 | er del: -9.5403e-01 | er: 2.5064e+03 | time:   47.16с
2025-04-02 09:35:28,160 - INFO - Iter:  207 | ∇del: +6.2825e+08 | шаг: 2.8560e+00 | er del: -9.7276e-01 | er: 2.5055e+03 | time:   47.22с
2025-04-02 09:36:15,268 - INFO - Iter:  208 | ∇del: +5.6516e+08 | шаг: 2.8642e+00 | er del: -9.9043e-01 | er: 2.5045e+03 | time:   47.10с
2025-04-02 09:37:02,521 - INFO - Iter:  209 | ∇del: +5.0347e+08 | шаг: 2.8716e+00 | er del: -1.0064e+00 | er: 2.5035e+03 | time:   47.25с
2025-04-02 09:37:49,678 - INFO - Iter:  210 | ∇del: +4.0744e+08 | шаг: 2.8772e+00 | er del: -1.0191e+00 | er: 2.5025e+03 | time:   47.15с
2025-04-02 09:38:36,859 - INFO - Iter:  211 | ∇del: +4.4460e+08 | шаг: 2.8818e+00 | er del: -1.0304e+00 | er: 2.5014e+03 | time:   47.17с
2025-04-02 09:39:24,026 - INFO - Iter:  212 | ∇del: +5.1300e+08 | шаг: 2.8861e+00 | er del: -1.0430e+00 | er: 2.5004e+03 | time:   47.16с
2025-04-02 09:40:11,230 - INFO - Iter:  213 | ∇del: +6.1495e+08 | шаг: 2.8903e+00 | er del: -1.0585e+00 | er: 2.4993e+03 | time:   47.20с
2025-04-02 09:40:58,335 - INFO - Iter:  214 | ∇del: +5.0866e+08 | шаг: 2.8934e+00 | er del: -1.0728e+00 | er: 2.4983e+03 | time:   47.10с
2025-04-02 09:41:45,510 - INFO - Iter:  215 | ∇del: +4.7920e+08 | шаг: 2.8958e+00 | er del: -1.0853e+00 | er: 2.4972e+03 | time:   47.17с
2025-04-02 09:42:32,707 - INFO - Iter:  216 | ∇del: +4.8052e+08 | шаг: 2.8978e+00 | er del: -1.0976e+00 | er: 2.4961e+03 | time:   47.19с
2025-04-02 09:43:19,921 - INFO - Iter:  217 | ∇del: +4.1315e+08 | шаг: 2.8986e+00 | er del: -1.1085e+00 | er: 2.4950e+03 | time:   47.21с
2025-04-02 09:44:07,066 - INFO - Iter:  218 | ∇del: +4.0908e+08 | шаг: 2.8985e+00 | er del: -1.1175e+00 | er: 2.4938e+03 | time:   47.14с
2025-04-02 09:44:54,331 - INFO - Iter:  219 | ∇del: +4.1507e+08 | шаг: 2.8973e+00 | er del: -1.1264e+00 | er: 2.4927e+03 | time:   47.26с
2025-04-02 09:45:41,458 - INFO - Iter:  220 | ∇del: +5.1195e+08 | шаг: 2.8961e+00 | er del: -1.1368e+00 | er: 2.4916e+03 | time:   47.12с
2025-04-02 09:46:28,660 - INFO - Iter:  221 | ∇del: +4.9596e+08 | шаг: 2.8942e+00 | er del: -1.1485e+00 | er: 2.4904e+03 | time:   47.19с
2025-04-02 09:47:15,971 - INFO - Iter:  222 | ∇del: +3.9448e+08 | шаг: 2.8913e+00 | er del: -1.1575e+00 | er: 2.4893e+03 | time:   47.30с
2025-04-02 09:48:03,246 - INFO - Iter:  223 | ∇del: +3.4334e+08 | шаг: 2.8874e+00 | er del: -1.1646e+00 | er: 2.4881e+03 | time:   47.27с
2025-04-02 09:48:50,494 - INFO - Iter:  224 | ∇del: +3.1142e+08 | шаг: 2.8822e+00 | er del: -1.1700e+00 | er: 2.4869e+03 | time:   47.24с
2025-04-02 09:49:37,763 - INFO - Iter:  225 | ∇del: +3.2788e+08 | шаг: 2.8761e+00 | er del: -1.1759e+00 | er: 2.4858e+03 | time:   47.26с
2025-04-02 09:50:25,034 - INFO - Iter:  226 | ∇del: +3.4980e+08 | шаг: 2.8698e+00 | er del: -1.1808e+00 | er: 2.4846e+03 | time:   47.26с
2025-04-02 09:51:12,457 - INFO - Iter:  227 | ∇del: +3.3351e+08 | шаг: 2.8630e+00 | er del: -1.1865e+00 | er: 2.4834e+03 | time:   47.42с
2025-04-02 09:51:59,679 - INFO - Iter:  228 | ∇del: +3.1693e+08 | шаг: 2.8554e+00 | er del: -1.1911e+00 | er: 2.4822e+03 | time:   47.22с
2025-04-02 09:52:47,162 - INFO - Iter:  229 | ∇del: +3.5380e+08 | шаг: 2.8478e+00 | er del: -1.1946e+00 | er: 2.4810e+03 | time:   47.48с
2025-04-02 09:53:34,458 - INFO - Iter:  230 | ∇del: +4.7503e+08 | шаг: 2.8410e+00 | er del: -1.2024e+00 | er: 2.4798e+03 | time:   47.29с
2025-04-02 09:54:21,827 - INFO - Iter:  231 | ∇del: +5.8984e+08 | шаг: 2.8350e+00 | er del: -1.2115e+00 | er: 2.4786e+03 | time:   47.36с
2025-04-02 09:55:09,022 - INFO - Iter:  232 | ∇del: +4.1486e+08 | шаг: 2.8288e+00 | er del: -1.2205e+00 | er: 2.4774e+03 | time:   47.19с
